,Height,Volume,External_Wall_Area,Number_of_Floors,Ground_Floor_Area,Window_Area,u_Value_Wall,u_Value_Ground_Floor,u_Value_Roof,u_Value_Internal_Floor,u_Value_Internal_Wall,u_Value_Windows,g_Value_Windows,Permeability,Building_Equipment_Heat_Gain,Building_Occupancy,WWR_North,WWR_East,WWR_West,WWR_South,WWR,Heating_Load
0,3.8046875,9493.608438,1083.555973,4,623.81,672.0790049,0.24921875,0.18515625,0.23203125,0.5234375,0.5421875,0.96953125,0.55546875,7.1015625,12.78125,21.5625,0.409375,0.490625,0.290625,0.340625,0.3828125,8126.323751
1,3.3046875,2306.739714,356.8792144,2,349.01,166.9801945,0.19921875,0.23515625,0.18203125,0.4234375,0.4421875,0.81953125,0.40546875,8.6015625,10.78125,17.5625,0.209375,0.290625,0.490625,0.140625,0.2828125,3963.459779
2,3.203125,5627.637303,841.5294731,3,585.64,321.2055559,0.1578125,0.1859375,0.2109375,0.496875,0.434375,0.7703125,0.5859375,8.765625,12.3125,23.875,0.31875,0.21875,0.24375,0.29375,0.26875,5591.826584
3,3.953125,11425.00563,1158.234133,4,722.53,541.926039,0.1828125,0.1609375,0.1859375,0.446875,0.484375,0.8453125,0.5109375,6.515625,11.3125,17.875,0.41875,0.31875,0.14375,0.39375,0.31875,7336.702772
4,3.765625,4144.974063,472.6272838,2,550.37,234.1051085,0.2140625,0.1921875,0.1796875,0.434375,0.496875,0.8640625,0.5671875,7.453125,11.0625,21.375,0.29375,0.34375,0.36875,0.31875,0.33125,4475.355602
5,3.46875,4184.7,736.9151579,4,301.6,285.3948987,0.178125,0.246875,0.203125,0.56875,0.49375,0.746875,0.328125,7.96875,12.375,20.25,0.2375,0.1125,0.4125,0.3375,0.275,4445.630893
6,3.0625,7038.91125,789.0224322,3,766.14,249.1649797,0.18125,0.20625,0.16875,0.4375,0.4375,0.86875,0.43125,8.0625,12.75,17.5,0.125,0.375,0.125,0.325,0.2375,6342.537161
7,3.8671875,6986.615625,1126.946889,4,451.66,391.4657823,0.21796875,0.22890625,0.23828125,0.5359375,0.5046875,0.83828125,0.49921875,8.7890625,10.03125,20.0625,0.434375,0.215625,0.265625,0.115625,0.2578125,8897.189846
8,3.3671875,7346.056463,802.5210022,3,727.22,415.7272205,0.16796875,0.17890625,0.18828125,0.4359375,0.4046875,0.98828125,0.34921875,7.2890625,12.03125,16.0625,0.234375,0.415625,0.465625,0.315625,0.3578125,7011.709817
9,3.109375,7912.613125,1315.265749,4,636.19,368.2743858,0.2296875,0.2453125,0.1890625,0.465625,0.528125,0.7796875,0.4078125,8.109375,13.9375,16.125,0.10625,0.38125,0.20625,0.18125,0.21875,7606.319681
10,3.59375,11248.4375,1329.716104,4,782.5,640.2336796,0.215625,0.184375,0.190625,0.54375,0.41875,0.709375,0.440625,7.59375,13.875,23.25,0.3875,0.2625,0.1625,0.4875,0.325,7786.955803
11,3.9375,3356.758125,457.6162768,3,284.17,387.2137727,0.21875,0.16875,0.23125,0.4625,0.4625,0.90625,0.31875,7.6875,13.25,18.5,0.475,0.425,0.475,0.475,0.4625,4711.098798
